question,A,B,C,D,answer
Which of the following is true of Graves Disease of the thyroid?,(A) It is a cause of ophthalmoplegia,(B) It causes a large multi-nodular goitre,(C) It is commoner in males than females,"(D) In the past, Grave's disease sometimes caused 'Derbyshire Neck'",A
Which of the following was a significant reason for the electoral success of Franklin Roosevelt's New Deal coalition during the 1930s?,(A) A major shift of African American voters from the Republican to the Democratic Party,(B) A major shift of urban voters in Northern states from the Republican to the Democratic Party,(C) A focus on a bipartisan approach to major social and economic legislation,(D) A focus on mobilizing young voters,A
Which of the following statements is correct?,(A) Sulfur dioxide is not used in foods containing thiamin because it causes destruction of the vitamin,(B) Sulfur dioxide is not used in foods containing niacin because it causes destruction of the vitamin,(C) Sulfur dioxide is not used in foods containing vitamin E because it causes destruction of the vitamin,(D) Sulfur dioxide is not used in foods containing vitamin C because it causes destruction of the vitamin,A
"Simple accompaniments, light texture and smooth melodies are qualities of",(A) galant style,(B) partitas,(C) Sturm und Drang,(D) serenade,A
"A certain molecule acts by binding to cytochrome oxidase A3, the final enzyme in the electron transport chain. Administration of a large dose of this substance to a human would likely:","(A) Lead to death due to an inability of the cell to pass electrons to oxygen, thus stopping aerobic respiration and asphyxiating the cells.",(B) Lead to death due to an inadequate supply of ADP to accept a phosphate group at the ATP synthase enzyme.,(C) Have no effect as cells would switch which macronutrient they metabolize to circumvent the blocked biochemical pathway.,(D) Increase the cell’s ATP production as negative feedback would cause the cell to up-regulate anaerobic pathways.,A
"A 37-year-old woman with AIDS comes to the physician because of a 1-month history of progressive diarrhea and a 1.8- kg (4-lb) weight loss. During the past week, she has had six large watery stools daily. She is currently receiving triple antiretroviral therapy. She is employed as a flight attendant and works regularly on domestic flights throughout the USA. She also flies to Asia at least once monthly. She is 163 cm (5 ft 4 in) tall and weighs 59 kg (130 lb); BMI is 22 kg/m2 . Her temperature is 37°C (98.6°F), pulse is 88/min, and blood pressure is 112/64 mm Hg. The abdomen is scaphoid. The remainder of the examination shows no abnormalities. Her CD4+ T-lymphocyte count is 400/mm3 (Normal≥500). Which of the following is the most likely causal organism?",(A) Cryptosporidium parvum,(B) Cytomegalovirus,(C) Mycobacterium avium-intracellulare complex,(D) Salmonella enteritidis,A
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,(A) Expectancy,(B) Instrumental,(C) Classical,(D) Contingency,A
Which of these is not a traditional Greek dish?,(A) sukiyaki,(B) souvlaki,(C) moussaka,(D) finikia,A
Soil structure refers to which of the following?,(A) Arrangement of soil particles,"(B) Proportion of sand, silt, and clay",(C) Organic composition,(D) Profile depth,A
"A CPA has been requested by a former audit client to reissue the auditor's report for the prior period. Before reissuing the report, the CPA should",(A) Obtain a letter of representation from the former client's management.,(B) Make inquiries of the former client's attorney regarding pending litigation.,(C) Review the former client's records to verify its compliance with debt and loan agreements.,(D) Consider whether there is substantial doubt about the former client's ability to continue as a going concern.,A
"Ethical issues related to marketing communications include the fact that they are _________ and unavoidable, they create ________ needs, reinforce _________ and perpetuate _________ and ______.","(A) Intrusive, Artificial, Consumerism, Insecurity, Social Stereotypes","(B) Intrusive, Artificial, De-materialism, Security, Happiness","(C) Intrusive, Real, Consumerism, Insecurity, Happiness","(D) Intrusive, Real, De-materialism, Security, Social stereotypes",A
" Although the benefit and contribution of civil society in encouraging sustainability, lobbying on important issues and helping the needy are taken for granted in many places, in many other countries, such as _____ and ______ civil society is far less developed than in, for instance, _______.","(A) Russia, China, Britain","(B) Norway, China, Russia","(C) Britain, United States, Australia","(D) Canada, Russia, United States",A
What disease does a carcinogen cause?,(A) cancer,(B) influenza,(C) emphysema,(D) heart disease,A
" Which of the following is the communication model that depicts information flowing via various media channels, to particular types of people, to whom other members of the audience refer for information and guidance?",(A) Two-step.,(B) Three-step.,(C) Multi-step.,(D) One-step.,A
The current record for longest lived human being is held by,(A) Jeanne Calment,(B) Maggie Kuhn,(C) Maria Esther de Capovilla,(D) M. Cherie Clark,A
The Federal Reserve implements an expansionary policy by doing which of the following?,(A) Buying Treasury bonds in the open market,(B) Raising the federal funds rate,(C) Raising the discount rate,(D) Raising the required reserve ratio,A
According to legend in what country are you most likely to meet a leprechaun?,(A) Ireland,(B) Poland,(C) Greenland,(D) Scotland,A
That super sweet iced tea that your grandmother gives you might be that way because she,(A) Has lost a lot of sweet taste buds and cannot taste sweetness as well anymore,(B) Is a member of that cohort that really enjoys sweets,(C) Is trying to get you to be a little sweeter than you have been in the past,(D) Has experienced damage in her parietal lobe where sweet sensations are directed,A
What are the key characteristics of transactional leaders?,"(A) Guiding, mentoring and motivating","(B) Guiding, commanding and motivating","(C) Guiding, demonstrating and motivating","(D) Guiding, mentoring and demonstrating",A
What is the purpose of the cuff on a tracheostomy tube?,(A) To create an air seal within the trachea and reduce the risk of aspirating saliva or gastric contents.,(B) To reduce local oedema.,(C) To assist with swallowing.,(D) To allow the patient to talk.,A
Which of these movies does not star Jim Carrey?,(A) Patch Adams',(B) The Truman Show',(C) Dumb and Dumber',(D) The Mask',A
"David is a nationally ranked cellist who recently accepted a scholarship to a major college to perform in the orchestra. Over the summer, he has been given a packet of sheet music to be proficient in by fall semester. David is a perfectionist when it comes to his craft. He always compares himself to better players, and is very hard on himself when he cannot master a section of one of his pieces. Which of the following answers best describes David?","(A) Low self-esteem, strong self-efficacy, internal locus of control","(B) High self-esteem, strong self-efficacy, internal locus of control","(C) Low self-esteem, strong self-efficacy, external locus of control","(D) Low self-esteem, low self-efficacy, internal locus of control",A
Which of the following inborn errors of metabolism gives rise to zinc deficiency?,(A) Acrodermatitis enteropathica,(B) Wilson's disease,(C) Menkes disease,(D) Haemochromatosis,A
What is the function of mitochondria in the cell?,(A) To generate energy,(B) To process waste,(C) To kill viruses or other antigens,(D) To repair damage,A
A prekindergarten teacher is planning a lesson with a teaching objective of categorizing geometric objects by type of shape. Which of the following actions must children be able to perform successfully before the teacher teaches the lesson?,(A) Identifying attributes of objects,(B) Recognizing the position of whole numbers,(C) Creating sets of objects using counters,(D) Matching values with their numerical representatives,A
Which part of the electromagnetic spectrum has the shortest wavelength?,(A) Gamma rays,(B) X-rays,(C) Radio waves,(D) Microwaves,A
A muscle fibre relaxes when:,(A) the nerve stimulus is removed.,(B) the nerve stimulus is too forceful.,(C) the actin binding sites are uncovered.,(D) the actin binding sites are saturated.,A
Which of the following vitamins provides the coenzyme for carboxylation reactions?,(A) Biotin,(B) Niacin,(C) Riboflavin,(D) Thiamin,A
"A 70-year-old woman comes to the office because of worsening tremor of her hands. The tremor has been present for most of her life and initially was mild and would occur only when she was tired or stressed. During the past month the shaking has become more noticeable and frequent. She is now embarrassed to eat with other people because of how obvious the tremor has become. The patient has been taking fluoxetine for the past 3 weeks to help her to cope with the death of her husband 2 months ago. Medical history is also remarkable for essential hypertension controlled with lisinopril and hyperlipidemia controlled with atorvastatin. Her only other medication is occasional ibuprofen for joint pain. She used to drink one to two alcoholic beverages monthly but now drinks one glass of wine daily because, she says, it reduces her tremor. She is 168 cm (5 ft 6 in) tall and weighs 70 kg (155 lb); BMI is 25 kg/m2 . Vital signs are temperature 36.4°C (97.6°F), pulse 80/min, respirations 18/min, and blood pressure 130/85 mm Hg. Physical examination shows a moderate tremor of both hands that is not present at rest. Complete blood count, serum chemistry profile, and serum thyroid function tests are ordered and results are pending. Which of the following is the most likely cause of the patient's worsening tremor?",(A) Adverse effect of fluoxetine therapy,(B) Bereavement reaction,(C) Early Parkinson disease,(D) Increase in alcohol consumption,A
"When there has been a change in accounting principles, but the effect of the change on the comparability of the financial statements is not material, the auditor should",(A) Not refer to the change in the auditor’s report.,(B) Refer to the note in the financial statements that discusses the change.,(C) Refer to the change in an emphasis-of-matter paragraph.,(D) Explicitly state whether the change conforms with GAAP.,A
" The ____________ delivers to us a wide array of offerings, either directly or indirectly, through business markets, to serve our wants and needs.",(A) Aggregate marketing system.,(B) Planning excellence.,(C) A quality rift.,(D) A value line.,A
"A 35-year-old man comes to the office for follow-up of sarcoidosis. His only new complaint is pain in his legs that increases with weight-bearing. He has been taking glucocorticoid therapy for the past 6 months. Vital signs now are temperature 37.0°C (98.6°F), pulse 78/min, respirations 14/min, and blood pressure 110/70 mm Hg. The patient is thin and is in no acute distress. Auscultation of the chest discloses scattered bilateral basilar crackles. There is mild left hip pain present with both active and passive range of motion. Dorsalis pedis pulse is intact. Neurologic examination is normal. Which of the following is the most likely cause of this patient's symptoms?",(A) Avascular necrosis of the femoral head,(B) Herniated nucleus pulposus,(C) Narrowing of the hip joint,(D) Osteoporosis,A
"This includes advertisements that contain 'call-to-response' mechanisms such as telephone numbers, website addresses, email and postal addresses:",(A) Direct response advertising.,(B) Sales promotions.,(C) Mass media advertising.,(D) Public relations.,A
" Pine and Gilmore (1999) derive four distinct realms of experience, based on two dimensions. What are these dimensions?",(A) Customer participation and environmental relationship.,(B) Customer acquisition and environmental relationship.,(C) Customer participation and customer relationship.,(D) Customer retention and customer relationship.,A
In what restaurant can you order a Grand Slam breakfast?,(A) Denny's,(B) McDonald's,(C) Burger King,(D) Hardee's,A
"Order the following (risk, return) pairs from least to most favourable, assuming the perspective of a rational and risk-averse investor: (2,2),(2,3) and (4,2). Risk is measured in standard deviations and return in percentage. HINT: Imagine a scatter diagram with standard deviation on the x-axis and return on the y-axis.","(A) (4,2),(2,2),(2,3)","(B) (2,2),(2,3),(4,2)","(C) (2,2),(4,2),(2,3)","(D) (2,3),(2,2),(4,2)",A
"In a business to business context, conflicts of interest can arise in two main ways: conflict of _______ and _______ interests, which might arise, for example, when a firm is hired as a supplier of professional services by another firm or conflict of _________ and ________ interests, such as where an individual's interests may conflict with that of their employer.","(A) Professional, Organizational, Personal, Organizational","(B) Professional, Individual, Personal, Organizational","(C) Individual, Organizational, Organizational, Professional","(D) Individual, Professional, Organizational, Personal",A
"While performing certain nonaudit services for an insurance company, a professional accountant is asked to recommend the appropriate accounting treatment for a weather hedge transaction. The accountant has worked with financial hedges but has no experience with weather hedges. Which of the following actions by the accountant would be in compliance with the IFAC Code of Ethics for Professional Accountants?",(A) Agree to recommend the appropriate accounting treatment after performing sufficient research on weather hedges.,"(B) Refuse to conduct the research and make a recommendation, because of insufficient experience.","(C) Refuse to conduct the research and make a recommendation, because of a conflict of interest.",(D) Agree with the accounting treatment recommended by the company’s hedge fund trader.,A
The two most common causes of foodborne illness in the United States and Europe are:,(A) Salmonella and Campylobacter,(B) Listeria and Salmonella,(C) Shigella and Staphlococcus,(D) E. coli STECs and non-STEC subtypes,A
The atmospheric concentration of which of the following gases is most likely to be directly affected by widespread deforestation?,(A) Carbon dioxide,(B) Ozone,(C) Nitrous oxide,(D) Argon,A
According to a famous line from the existentialist play 'No Exit' what is hell?,(A) oneself,(B) other people,(C) little made,(D) large hued in green and blue,B
What is not an advantage of a hierarchical structure?,(A) Clear chain of command,(B) Quick response to change,(C) Discipline and stability,(D) Small span of control,B
"_______ is a system of exchange based on guaranteeing producers in developing countries a living wage, decent working conditions and opportunities for community development.",(A) Sustainable sourcing,(B) Fair trade,(C) Ethical sourcing,(D) Supply chain responsibility,B
"According to COSO, an effective approach to monitoring internal control involves each of the following steps, except",(A) Establishing a foundation for monitoring.,(B) Increasing the reliability of financial reporting and compliance with applicable laws and regulations.,(C) Designing and executing monitoring procedures that are prioritized based on risks to achieve organizational objectives.,"(D) Assessing and reporting the results, including following up on corrective action where necessary.",B
It is possible to reduce (though not eliminate) information bias in assessment of dietary intake by,(A) gathering information about many different aspects of people's dietary habits.,"(B) collecting data about dietary intake at the onset of a study, before people have experienced symptoms of disease.",(C) collecting data on all possible confounders.,(D) making sure that the study sample is representative of the population.,B
"When Corporation X pays out $300,000 in salaries, which of the following is the impact on assets and liabilities?","(A) Salary expense is increased by $300,000; cash is increased by $300,000","(B) Salary expense is increased by $300,000; cash is decreased by $300,000","(C) Salary expense is decreased by $300,000; cash is increased by $300,000","(D) Salary expense is decreased by $300,000; cash is decreased by $300,000",B
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,(A) Interferon and ribavirin,(B) Lamivudine and ribavirin,(C) Combinations of adefovir and entecavir and/or tenofovir (DAA),(D) Interferons alone,B
Kinase reactions:,(A) inhibit ATP breakdown.,(B) involve the addition or removal of a phosphate group.,(C) involve the addition or removal of a ketone group.,(D) involve the addition or removal of an amino acid to a polypeptide chain.,B
"As of 2015, the global fertility rate was about",(A) 1.5 children per woman,(B) 2.5 children per woman,(C) 3.5 children per woman,(D) 4.5 children per woman,B
What type of organisational culture is most likely to deliver stability and efficiency?,(A) Task culture,(B) Role culture,(C) Power culture,(D) People culture,B
About what percentage of the global population was literate in 1950?,(A) 36%,(B) 56%,(C) 76%,(D) 96%,B
A homeotic mutation is one which,(A) is present in only one form in an individual,(B) substitutes one body part for another in development,(C) results in development of a tumor,(D) is wild type at one temperature and abnormal at another,B
What internet company goes by the acronym AOL?,(A) America Over Lines,(B) America Online,(C) Americans On Links,(D) Americans On LOR,B
Before accepting an audit engagement a CPA should evaluate whether conditions exist that raise questions as to the integrity of management. Which of the following conditions most likely would raise such questions?,(A) There are significant differences between the entity's forecasted financial statements and the financial statements to be audited.,(B) The CPA will not be permitted to have access to sensitive information regarding the salaries of senior management.,(C) There have been substantial inventory write-offs just before the year end in each of the past four years.,(D) The CPA becomes aware of the existence of related party transactions while reading the draft financial statements.,B
From whom does the Lutheran Church get its name?,(A) Martin Luther King Jr,(B) Martin Luther,(C) Luther Vandross,(D) Lex Luthor,B
How are actors Charlie Sheen and Emilio Estevez related?,(A) They're cousins,(B) They're brothers,(C) They're father and son,(D) They're uncle and nephew,B
Social support is most likely to have a positive influence on health and well being when it is,(A) Very emotional,(B) Perceived as support,(C) Unexpected,(D) External rather than internal,B
 Which of the following is a type of consumer product bought relatively infrequently and which requires consumers to update their knowledge prior to purchase?,(A) Luxury product.,(B) Shopping product.,(C) Generic products.,(D) Branded products.,B
Your patient has diabetes. Why is this important?,(A) These patients are more likely to bleed.,(B) These patients are more likely to get urinary tract infections if their blood sugar is unstable.,(C) These patients are more likely to have clear urine.,(D) These patients are less likely to have catheter encrustation.,B
What kind of item is a ginsu?,(A) radio,(B) knife,(C) toothbrush,(D) martial arts weapon,B
Hypokinesia refers to,(A) Severe obesity,(B) Loss of muscle strength and bone density,(C) Increased sensitivity to stress,(D) Social isolation and lack of support,B
Which of the following statements about human amino acid requirements in human nutrition is correct?,(A) The amino acid requirements determined for adults is assumed to be the requirement pattern for all ages.,(B) The amino acid requirements determined for adults is assumed to be the requirements for maintenance for all ages.,(C) The amino acid pattern of breast milk is assumed to be the requirement pattern for all children.,(D) The amino acid pattern of human tissue protein is assumed to be the requirement patterns for infants and young children.,B
An 18-year-old female presents to the office with a 3-day history of lower abdominal pain and a 2-day history of fever. She reports frequent unprotected sexual intercourse with different partners since she started college 4 months ago. Abdominal examination reveals suprapubic tenderness. Bimanual examination of the uterus reveals more intense tenderness. Swabs of cervical mucus are obtained. This patient should be given antimicrobial chemotherapy to provide treatment for,(A) Candida albicans and Chlamydia trachomatis,(B) Chlamydia trachomatis and Neisseria gonorrhoeae,(C) Chlamydia trachomatis and Treponema pallidum,(D) Gardnerella vaginalis and Mobiluncus species,B
The descending loop of Henle of the nephron of the kidney is permeable to which of the following substances?,(A) Na+,(B) H2O,(C) K+,(D) Cl-,B
"A 47-year-old man is brought to the emergency department 2 hours after the sudden onset of shortness of breath, severe chest pain, and sweating. He has no history of similar symptoms. He has hypertension treated with hydrochlorothiazide. He has smoked one pack of cigarettes daily for 30 years. His pulse is 110/min, respirations are 24/min, and blood pressure is 110/50 mm Hg. A grade 3/6, diastolic blowing murmur is heard over the left sternal border and radiates to the right sternal border. Femoral pulses are decreased bilaterally. An ECG shows left ventricular hypertrophy. Which of the following is the most likely diagnosis?",(A) Acute myocardial infarction,(B) Aortic dissection,(C) Esophageal rupture,(D) Mitral valve prolapse,B
"The energy released from the breakdown of the high-energy phosphates, ATP and phosphocreatine, can sustain maximal exertion exercise for about:",(A) 1-2 seconds.,(B) 5-10 seconds.,(C) 30-40 seconds.,(D) 50-60 seconds.,B
Which of these plants is the national emblem of Scotland?,(A) ivy,(B) thistle,(C) rose,(D) linden,B
What does it mean to work 'probono'?,(A) work overtime,(B) work without pay,(C) work as your own boss,(D) not work at all,B
"A 67-year-old man with Parkinson disease is admitted to the hospital for treatment of pneumonia. The patient's daughter, who is visiting the patient, says he has had increased lethargy for the past day and decreased ambulation during the past 6 months. She also says that there are times during the day when his tremors increase in severity, although he continues to care for himself at home. Medical history is also remarkable for hypertension. Medications include hydrochlorothiazide, atenolol, levodopa, and carbidopa. He is 168 cm (5 ft 6 in) tall and weighs 78 kg (172 lb); BMI is 28 kg/m2 . Vital signs are temperature 38.9°C (102.0°F), pulse 60/min supine and 68/min standing, respirations 22/min, and blood pressure 100/60 mm Hg supine and 80/50 mm Hg standing. The patient appears ill and older than his stated age. He is fully oriented but lethargic. Auscultation of the chest discloses rhonchi in the right mid lung field. Abdominal examination discloses no abnormalities. Neurologic examination discloses masked facies, bradykinesia, and cogwheel rigidity; gait was not assessed on admission. Chest x-ray shows a right lower lobe infiltrate. ECG shows no abnormalities. Appropriate intravenous antibiotic therapy is initiated. Prior to discharge, which of the following is the most appropriate step?",(A) Obtain CT scan of the chest,(B) Obtain a swallowing evaluation,(C) Place a percutaneous endoscopic gastrostomy (PEG) tube,(D) Prescribe fludrocortisone,B
Women who are planning a pregnancy are recommended to take a supplement of 400ìg folic acid/ day before and until the end of the first trimester of pregnancy. What effect does such supplementation have on methylation of the imprinted gene IGF2 in the resulting children?,(A) No effect.,(B) Methylation of IGF2 is increased.,(C) Methylation of IGF2 is decreased.,(D) The effect depends on whether the child is male or female.,B
Crohn's disease:,(A) Always affects the colon,(B) May lead to intestinal obstruction,(C) Is best treated surgically,(D) Requires a gluten free diet,B
Modern computer microchips are primarily composed of what element?,(A) Sodium,(B) Silicon,(C) Aluminum,(D) Silver,B
Which of the following statements is correct?,(A) Business ethics is not a real concept as the rules and ethics of everyday life don't apply to the world of business.,"(B) Business Ethics is the study of business situations, activities and decisions where issues of right and wrong are addressed.",(C) Business ethics cannot be defined as a real concept as it is an oxymoronic term.,(D) Business ethics is concerned with the study of assessing the activities of a business based on their profitability.,B
A company should recognize goodwill in its balance sheet at which of the following points?,(A) Costs have been incurred in the development of goodwill.,(B) Goodwill has been created in the purchase of a business.,(C) The company expects a future benefit from the creation of goodwill.,(D) The fair market value of the company’s assets exceeds the book value of the company’s assets.,B
How are antibody producing cells stimulated?,(A) Interacting with a virus short peptide,(B) Interacting with a T helper cell.,(C) Interacting with a plasma cell,(D) Interacting with a virus infected cell,B
Plasmid vectors for cloning,(A) can generally accommodate larger inserts than phage vectors can,"(B) grow within bacteria, and are present in bacterial colonies on an agar plate",(C) can accommodate inserts of over 100 kilobases,(D) include centromeres to allow propagation in yeast,B
What role do women play in food security?,(A) Their main role is preparing meals.,"(B) They play a central role as producers of food, managers of natural resources, income earners and caretakers of household nutrition.","(C) They weed the fields, but never plough or plant them, as only men are strong enough for those activities.",(D) Their efforts focus mainly on vegetable gardens and chickens; men are involved with cereal crops and larger livestock.,B
The Internet has led to the development of an information intermediary. Here the key role is to manage information to improve the efficiency and effectiveness of the distribution channel. This is referred to as:,(A) Time utility.,(B) Information utility.,(C) Ownership utility.,(D) Place utility.,B
It is unlikely that a 'cure' of HIV is possible with current drugs because:,(A) Even in combination current drugs do not completely block viral replication,(B) They do not penetrate to cells,(C) They cannot block viral transcription from integrated viral DNA,(D) They cannot penetrate to the CNS,B
"A scientist using mouse models to determine the response of blood hormones to large levels of glucose in the body discovers a new hormone not previously described. According to his data, this hormone is found both inside and out of cells when carrying out its function, increase the amount of nucleic acid in the cell while functioning, and are derived from a structure containing four hydroxycarbon rings. This will likely be categorized as which type of hormone?",(A) Enzymatic,(B) Steroid,(C) Peptide,(D) Amino acid,B
"A 19-year-old college student comes to the physician because of vaginal irritation and pain with urination for 5 days. Two weeks ago, she had streptococcal pharyngitis treated with amoxicillin. She has been sexually active with two partners over the past year; she uses condoms for contraception. Her last menstrual period was 1 week ago. Her temperature is 37.2°C (99°F), and blood pressure is 90/60 mm Hg. Pelvic examination shows erythema of the vulva and vagina and a thick white vaginal discharge. The pH of the discharge is 4. Which of the following is the most likely cause of these findings?",(A) Bacterial vaginosis,(B) Candidiasis,(C) Chlamydia trachomatis infection,(D) Escherichia coli infection,B
"Greene is the sole shareholder of Seagull, a calendar-year S corporation. Greene's basis at the beginning of the year is $15,000. Seagull reported an ordinary loss of $5,000 and $2,000 of municipal bond interest for the year. Seagull distributed cash of $6,000 to Greene on November 1. What is Greene's basis in Seagull at the end of the year?","(A) $4,000","(B) $6,000","(C) $14,000","(D) $15,000",B
Which fatty acids found in plasma phospholipids are associated with reduced cardiovascular mortality?,(A) Palmitic acid (16:0),(B) Long chain (=20 carbons) saturated and n-3 polyunsaturated fatty acids,(C) á-linolenic acid (18:3),(D) Stearic acid (18:0),B
"From the very beginning, I wrote to explain my own life to myself, and I invited any readers who chose to make the journey with me to join me on the high wire. I would work without a net and without the noise of the crowd to disturb me. The view from on high is dizzying, instructive. I do not record the world exactly as it comes to me but transform it by making it pass through a prism of fabulous stories I have collected on the way. I gather stories the way a lepidopterist hoards his chloroformed specimens of rare moths, or Costa Rican beetles. Stories are like vessels I use to interpret the world to myself. ----------Pat Conroy Which of the following best describes the organization of the passage?",(A) The author provides several explanations for taking a certain course of action.,(B) The author uses analogies to explain his experience of a particular action.,(C) The author makes a comparison between his own experiences and that of others in his profession.,(D) The author chronicles the various phases of his work in a particular discipline.,B
"Smythe Co. invested $200 in a call option for 100 shares of Gin Co. $.50 par common stock, when the market price was $10 per share. The option expired in three months and had an exercise price of $9 per share. What was the intrinsic value of the call option at the time of initial investment?",(A) $50,(B) $100,(C) $200,(D) $900,B
" In conducting international market research, there are three types of equivalence. Which of the following is NOT one of the equivalences?",(A) Conceptual equivalence.,(B) Market equivalence.,(C) Functional equivalence.,(D) Translation equivalence.,B
The term gene doping refers to:,(A) the use of drugs to modify gene transcription.,(B) the use of genetic manipulation techniques to enhance performance in sport.,(C) the activation or inhibition of genes to mask drug taking by athletes.,(D) the use of drugs to modify the myostatin gene.,B
In what year did the Great Depression begin?,(A) 1884,(B) 1929,(C) 1953,(D) 1975,B
Which of the following procedures would an auditor most likely perform to obtain evidence about the occurrence of subsequent events?,(A) Verify inventory pledged under loan agreements by confirming the details with financial institutions.,(B) Inquire about the current status of transactions that were recorded on the basis of preliminary data.,(C) Compare the financial statements being reported on with those of the prior year.,(D) Trace information from shipping documents to sales invoices and sales journal transactions.,B
"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",(A) 25%,(B) 45%,(C) 65%,(D) 85%,B
Papillomaviruses cause warts and cancer but how do they most often infect humans?,(A) Are water borne,(B) Are airborne,(C) Via scratches and breaks in the skin,(D) Are nosocomial and spread in hospitals,C
Which of these is not a breed of cat?,(A) Persian,(B) Turkish Angora,(C) Bichon Frise,(D) Maine Coon,C
"A 52-year-old man is admitted to the hospital because of severe dyspnea and cough productive of tenacious, brownishyellow sputum for the past 3 weeks. He has a 15-year career history of sandblasting old buildings. He has smoked two packs of cigarettes daily for the past 30 years. The patient is 168 cm (5 ft 6 in) tall and weighs 59 kg (130 lb); BMI is 21 kg/m2 . Vital signs are temperature 36.8°C (98.2°F), pulse 94/min, and blood pressure 150/92 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 70%. On physical examination he is in moderately severe distress with pursed lips and cyanotic nail beds. Chest has an increased anteroposterior diameter. Auscultation of the chest discloses scattered wheezes and rhonchi over all lung fields. Cardiac examination discloses muffled heart sounds and an S4. Fingers are clubbed. Chest x-ray shows hyperinflated lungs, flattened diaphragm, large, irregular opacities in the upper lobes, and eggshell calcifications of the hilar lymph nodes. In addition to antibiotic therapy, which of the following is the most appropriate intervention?",(A) Azathioprine therapy,(B) Bronchoscopy,(C) Continuous humidified oxygen,(D) Nocturnal continuous positive airway pressure (CPAP),C
Which of the following is true of the assessment of power in the arms?,(A) Grade 3/5 (MRC scale) represents movement of the arm only when gravity is eliminated,(B) Flexion at the elbow is produced by the triceps muscle,(C) The root value of shoulder abduction is C5,(D) Grade 1/5 power represents no movement or muscle contraction,C
Which of the following can act as an intracellular buffer to limit pH changes when the rate of glycolysis is high?,(A) Glutamine,(B) Glucose,(C) Carnosine,(D) Amylase,C
Basal Metabolic Rate (BMR):,(A) is measured in comfortable sitting position,(B) is unaltered in hypothyroidism and hyperthyroidism,(C) Is higher after weight gain because part of the excess weight is fat-free mass.,(D) is not altered after weight loss.,C
Which of the following groups was converted to Christianity in the tenth century AD by missionaries from the Byzantine Empire?,(A) Franks,(B) Visigoths,(C) Russians,(D) Anglo-Saxons,C
Who was the first American in space?,(A) John Glenn,(B) Buzz Aldrin,(C) Alan Shepard,(D) Neil Armstrong,C
"On average, how many fragments would a restriction enzyme which recognizes a specific 4 base sequence in DNA be expected to cleave a double-stranded bacteriophage with a genome size of 5,000 bp into?",(A) about 2,(B) about 4,(C) about 20,(D) about 50,C
In traditional English puppet shows who is married to the character Punch?,(A) Debbie,(B) Victoria,(C) Judy,(D) Barbara,C
"If a patient is cyanosed, what might their oxygen saturation level be?",(A) 98% or above.,(B) 94% or above.,(C) 80% or below.,(D) 85% or above.,C
